Branch,Customer type,Gender,Product line,Quantity,Total,Date,Rating
B,Normal,Male,Sports and travel,6,588.357,3/27/2019,10
C,Normal,Female,Food and beverages,8,362.712,1/19/2019,8.3
A,Normal,Male,Sports and travel,1,66.8745,2/25/2019,6
A,Normal,Male,Food and beverages,7,336.5565,3/13/2019,7
C,Normal,Male,Sports and travel,2,160.44,1/30/2019,6.5
B,Normal,Male,Food and beverages,10,418.95,2/20/2019,5.9
B,Member,Male,Health and beauty,8,357.588,2/25/2019,5.6
C,Normal,Male,Home and lifestyle,10,1003.59,1/16/2019,4.8
A,Normal,Male,Fashion accessories,10,1039.29,2/8/2019,8.7
A,Normal,Male,Food and beverages,6,323.064,1/19/2019,6.5
A,Member,Male,Sports and travel,7,510.972,2/1/2019,8.5
A,Normal,Male,Health and beauty,5,367.5525,1/3/2019,5.5
B,Member,Male,Food and beverages,5,420.2625,1/26/2019,9.4
C,Normal,Male,Electronic accessories,8,175.14,3/3/2019,6.3
B,Member,Male,Electronic accessories,6,333.207,1/19/2019,9.8
B,Normal,Male,Food and beverages,8,166.236,1/18/2019,8.7
A,Member,Male,Home and lifestyle,9,319.788,3/21/2019,8.8
A,Member,Male,Food and beverages,8,186.228,3/3/2019,9.6
C,Normal,Female,Fashion accessories,7,165.4485,2/13/2019,4.8
A,Normal,Male,Food and beverages,6,465.444,3/23/2019,4.4
C,Member,Male,Health and beauty,3,273.42,1/28/2019,9.9
C,Normal,Male,Fashion accessories,7,472.311,2/9/2019,5.7
C,Member,Male,Food and beverages,8,323.148,1/23/2019,7.7
A,Member,Male,Sports and travel,10,162.75,3/23/2019,8
C,Normal,Male,Health and beauty,8,288.204,1/25/2019,5.7
A,Normal,Female,Sports and travel,7,90.699,3/4/2019,6.7
B,Member,Male,Food and beverages,3,56.952,3/5/2019,8
B,Member,Female,Home and lifestyle,8,793.716,3/3/2019,7.5
B,Member,Male,Home and lifestyle,4,195.174,2/8/2019,7
A,Normal,Male,Home and lifestyle,1,77.7735,2/10/2019,9.9
C,Normal,Female,Home and lifestyle,4,293.202,1/28/2019,5.9
B,Normal,Female,Home and lifestyle,3,242.676,2/11/2019,7.2
B,Normal,Female,Fashion accessories,2,154.392,1/15/2019,4.6
C,Normal,Female,Food and beverages,9,829.71,3/16/2019,9.2
B,Normal,Male,Home and lifestyle,4,107.31,1/26/2019,5.7
A,Normal,Male,Electronic accessories,5,171.7275,3/19/2019,9.9
C,Member,Female,Fashion accessories,1,78.0045,1/13/2019,5
C,Member,Male,Health and beauty,2,91.77,3/26/2019,4.9
A,Normal,Female,Home and lifestyle,1,26.5545,3/23/2019,6.1
C,Normal,Male,Health and beauty,4,174.3,3/12/2019,8.2
C,Member,Female,Food and beverages,5,374.7975,2/17/2019,5.5
C,Member,Female,Sports and travel,6,120.645,1/29/2019,6.8
B,Member,Female,Electronic accessories,4,241.458,3/15/2019,6.6
C,Normal,Male,Electronic accessories,7,451.3635,1/14/2019,9.8
B,Member,Male,Health and beauty,10,271.95,2/6/2019,8.7
B,Member,Male,Home and lifestyle,5,93.2925,2/15/2019,5.4
A,Normal,Female,Health and beauty,9,217.6335,1/3/2019,7.9
C,Member,Female,Electronic accessories,9,629.8425,1/4/2019,9.7
C,Member,Female,Home and lifestyle,10,299.565,3/18/2019,7.8
B,Normal,Female,Fashion accessories,3,95.6655,3/28/2019,5.1
B,Normal,Female,Electronic accessories,9,942.4485,3/2/2019,6.5
A,Normal,Male,Electronic accessories,9,247.8735,1/25/2019,5.9
C,Normal,Female,Food and beverages,9,881.307,1/16/2019,8.8
B,Normal,Male,Home and lifestyle,5,484.89,3/20/2019,4.9
B,Normal,Male,Sports and travel,3,146.223,1/4/2019,4.4
B,Member,Female,Sports and travel,7,217.6335,3/11/2019,6.5
A,Normal,Male,Home and lifestyle,1,19.194,3/22/2019,8.3
B,Normal,Female,Sports and travel,5,130.0425,3/24/2019,8.5
A,Member,Female,Electronic accessories,3,298.116,2/21/2019,5.5
B,Normal,Male,Fashion accessories,8,796.908,2/12/2019,8.7
B,Normal,Female,Food and beverages,3,180.621,3/10/2019,7.9
B,Normal,Male,Electronic accessories,6,285.705,1/31/2019,6.1
B,Normal,Male,Food and beverages,7,456.288,3/6/2019,5.4
C,Normal,Male,Electronic accessories,5,62.0025,2/17/2019,9.4
C,Member,Female,Fashion accessories,1,13.167,2/21/2019,8.2
A,Normal,Male,Food and beverages,2,90.825,3/20/2019,6.2
C,Member,Female,Sports and travel,2,183.036,1/11/2019,9.7
B,Member,Male,Health and beauty,9,655.5465,1/26/2019,4
C,Member,Male,Electronic accessories,4,155.652,1/31/2019,9.7
B,Member,Female,Electronic accessories,6,571.41,2/26/2019,5.3
A,Normal,Female,Home and lifestyle,8,532.728,3/11/2019,7.4
B,Normal,Female,Fashion accessories,2,170.877,1/26/2019,6.5
B,Member,Female,Electronic accessories,3,33.3585,3/12/2019,8.7
B,Normal,Female,Health and beauty,9,794.6505,2/11/2019,8
B,Member,Male,Fashion accessories,4,310.044,2/21/2019,6.7
A,Member,Male,Health and beauty,10,545.37,3/9/2019,6.5
A,Normal,Female,Sports and travel,2,195.594,1/20/2019,4.1
C,Normal,Male,Health and beauty,5,91.4025,1/28/2019,4.9
C,Member,Female,Fashion accessories,5,232.155,3/5/2019,8.6
B,Member,Female,Electronic accessories,5,69.405,3/2/2019,4.3
A,Normal,Male,Fashion accessories,1,94.1745,1/11/2019,4.9
A,Normal,Male,Food and beverages,9,235.683,1/11/2019,5.6
A,Normal,Male,Health and beauty,2,125.517,3/11/2019,5.8
C,Member,Male,Fashion accessories,2,195.72,2/28/2019,6
A,Member,Male,Home and lifestyle,4,263.13,1/5/2019,4.2
B,Normal,Male,Home and lifestyle,8,788.508,2/2/2019,8.3
A,Member,Male,Home and lifestyle,8,399.756,1/1/2019,5.7
B,Member,Female,Electronic accessories,3,256.41,2/9/2019,4.8
A,Member,Male,Fashion accessories,5,94.185,1/23/2019,6.8
A,Member,Male,Electronic accessories,4,326.424,1/7/2019,8.8
B,Normal,Male,Food and beverages,7,536.991,1/14/2019,4.2
B,Member,Male,Food and beverages,9,439.8975,2/2/2019,6.4
C,Member,Male,Fashion accessories,10,369.495,3/17/2019,8.4
C,Normal,Female,Sports and travel,2,30.219,3/2/2019,7.2
A,Normal,Male,Home and lifestyle,4,99.75,3/16/2019,5.2
A,Member,Male,Home and lifestyle,8,494.76,1/6/2019,8.9
B,Member,Male,Fashion accessories,4,137.004,1/29/2019,9
A,Member,Male,Electronic accessories,1,69.6675,1/31/2019,9.7
A,Member,Male,Home and lifestyle,6,163.233,2/5/2019,8.7
A,Member,Male,Electronic accessories,4,135.45,2/13/2019,6.5
C,Member,Male,Electronic accessories,4,276.948,2/7/2019,6.9
A,Normal,Female,Electronic accessories,9,709.317,3/19/2019,6.2
C,Normal,Female,Fashion accessories,4,69.09,3/7/2019,5.6
B,Member,Female,Fashion accessories,4,160.86,3/13/2019,5.7
A,Member,Female,Sports and travel,10,233.52,2/9/2019,4.2
B,Normal,Male,Sports and travel,1,57.1725,2/26/2019,7.9
A,Member,Female,Sports and travel,7,723.24,3/12/2019,8.7
C,Normal,Male,Home and lifestyle,4,148.974,3/14/2019,6.9
B,Member,Female,Food and beverages,10,783.3,1/8/2019,9.5
A,Member,Male,Home and lifestyle,4,297.108,1/5/2019,4.4
A,Member,Female,Home and lifestyle,10,373.17,1/4/2019,7
B,Normal,Female,Sports and travel,5,354.0075,3/6/2019,6.3
C,Member,Female,Health and beauty,2,44.352,1/3/2019,9.7
A,Member,Female,Home and lifestyle,9,203.553,1/7/2019,8.8
A,Normal,Female,Home and lifestyle,2,25.263,1/27/2019,5.1
B,Normal,Female,Health and beauty,6,628.173,2/26/2019,7.9
B,Normal,Male,Fashion accessories,7,352.5795,1/7/2019,6.2
C,Member,Female,Home and lifestyle,10,229.11,1/7/2019,7.1
C,Normal,Female,Fashion accessories,4,400.764,2/2/2019,6.4
C,Member,Male,Fashion accessories,10,745.395,3/20/2019,5.7
A,Member,Male,Sports and travel,10,462.21,3/20/2019,9.6
A,Normal,Female,Home and lifestyle,8,587.664,2/15/2019,6.4
C,Normal,Male,Home and lifestyle,1,38.85,3/6/2019,7.9
A,Normal,Female,Sports and travel,1,16.107,1/6/2019,6.5
A,Member,Male,Health and beauty,6,628.929,3/4/2019,8.5
A,Member,Female,Health and beauty,4,200.214,3/12/2019,9.1
B,Normal,Male,Health and beauty,5,350.07,2/20/2019,7.6
C,Member,Male,Home and lifestyle,1,78.603,3/24/2019,6.9
C,Normal,Female,Sports and travel,9,224.4375,1/31/2019,9.5
B,Normal,Female,Food and beverages,7,356.5485,1/25/2019,5.2
A,Member,Female,Home and lifestyle,7,697.368,2/3/2019,4.2
B,Member,Male,Electronic accessories,10,423.15,1/24/2019,7
C,Normal,Male,Electronic accessories,7,204.6975,3/14/2019,6
A,Member,Female,Electronic accessories,1,65.604,2/18/2019,4.7
A,Member,Female,Food and beverages,2,76.356,1/21/2019,7.1
B,Normal,Male,Health and beauty,10,190.155,3/13/2019,5.9
C,Member,Female,Electronic accessories,5,272.58,3/3/2019,7.5
C,Normal,Male,Electronic accessories,4,121.128,3/29/2019,6.4
A,Member,Male,Home and lifestyle,6,493.794,1/10/2019,5.8
A,Member,Male,Home and lifestyle,4,252.042,1/25/2019,4.5
C,Member,Female,Home and lifestyle,1,93.0405,1/19/2019,7.7
C,Normal,Male,Fashion accessories,2,209.622,1/2/2019,6.7
B,Member,Male,Health and beauty,1,40.9605,3/12/2019,4.7
C,Normal,Male,Food and beverages,1,51.0405,2/25/2019,4.4
A,Normal,Female,Electronic accessories,4,214.998,3/18/2019,4.7
B,Normal,Female,Electronic accessories,8,125.664,2/23/2019,8.6
A,Member,Male,Electronic accessories,7,530.67,3/26/2019,4.3
A,Normal,Female,Sports and travel,7,295.6905,3/30/2019,9.6
A,Member,Female,Home and lifestyle,8,745.836,2/17/2019,4.1
A,Member,Female,Electronic accessories,3,83.412,3/21/2019,4.7
A,Normal,Female,Fashion accessories,2,172.011,3/5/2019,7.8
B,Member,Male,Sports and travel,6,503.559,1/31/2019,5.5
C,Member,Male,Fashion accessories,2,145.593,2/5/2019,9.7
A,Member,Female,Food and beverages,5,74.7075,2/1/2019,4.4
A,Member,Female,Health and beauty,9,146.9475,3/7/2019,5
C,Member,Female,Electronic accessories,10,820.365,2/10/2019,4.4
C,Member,Male,Food and beverages,2,208.677,2/14/2019,5.2
C,Member,Female,Food and beverages,3,66.402,2/9/2019,7.3
C,Member,Male,Electronic accessories,5,392.6475,1/10/2019,4.9
C,Member,Female,Health and beauty,7,218.0745,3/11/2019,8.1
C,Member,Male,Health and beauty,4,185.094,2/18/2019,8.4
C,Normal,Female,Food and beverages,9,216.6885,2/26/2019,5.5
C,Normal,Female,Health and beauty,1,41.391,1/18/2019,8.4
A,Normal,Male,Health and beauty,6,96.138,2/15/2019,9.8
A,Normal,Female,Fashion accessories,5,324.2925,3/8/2019,6.7
A,Normal,Male,Home and lifestyle,6,135.576,1/17/2019,9.4
B,Normal,Male,Sports and travel,4,410.508,3/12/2019,6.4
A,Member,Male,Food and beverages,5,523.845,3/9/2019,5.4
C,Member,Male,Food and beverages,4,395.892,3/12/2019,8.6
B,Member,Male,Health and beauty,4,214.746,1/25/2019,4
A,Member,Male,Electronic accessories,4,152.712,3/25/2019,7.6
B,Normal,Male,Home and lifestyle,9,208.089,2/7/2019,6.8
A,Normal,Male,Food and beverages,3,103.635,2/17/2019,9.1
A,Normal,Male,Fashion accessories,5,404.355,2/3/2019,5.5
A,Member,Male,Food and beverages,2,49.308,3/14/2019,7.9
C,Member,Male,Sports and travel,5,77.175,3/24/2019,8.5
A,Member,Female,Electronic accessories,5,149.3625,3/21/2019,9.1
A,Normal,Male,Fashion accessories,9,721.98,3/19/2019,7.5
B,Normal,Female,Sports and travel,6,365.085,2/24/2019,5.2
C,Normal,Female,Electronic accessories,3,150.0975,3/28/2019,9.5
B,Member,Female,Food and beverages,9,404.649,2/5/2019,8.9
B,Member,Male,Electronic accessories,3,151.4835,2/10/2019,7.8
B,Member,Female,Health and beauty,7,411.3795,3/5/2019,8.9
B,Member,Female,Health and beauty,7,565.215,2/15/2019,7.7
C,Normal,Female,Food and beverages,5,509.4075,1/30/2019,9.3
A,Normal,Male,Sports and travel,3,140.6475,2/14/2019,6.2
A,Normal,Female,Fashion accessories,9,736.4385,2/27/2019,7.6
A,Member,Male,Electronic accessories,1,75.5475,2/4/2019,7.3
C,Member,Female,Home and lifestyle,8,749.7,1/20/2019,4.7
A,Normal,Male,Electronic accessories,7,191.247,3/28/2019,5.1
B,Normal,Female,Health and beauty,10,141.75,2/27/2019,4.8
C,Member,Female,Fashion accessories,10,1042.65,2/15/2019,6.6
A,Normal,Male,Electronic accessories,7,379.9215,1/26/2019,5.5
B,Member,Female,Fashion accessories,7,402.2655,3/14/2019,8.5
B,Member,Male,Home and lifestyle,9,255.15,3/2/2019,4.8
C,Normal,Female,Electronic accessories,1,31.752,3/4/2019,8.4
B,Member,Female,Food and beverages,4,374.388,1/7/2019,7.8
C,Normal,Female,Fashion accessories,10,394.275,3/8/2019,9.3
C,Normal,Female,Sports and travel,10,1002.12,1/9/2019,5.2
B,Normal,Male,Electronic accessories,3,86.625,3/1/2019,6.5
B,Normal,Male,Sports and travel,1,78.7185,3/16/2019,5.6
A,Member,Male,Food and beverages,8,680.064,2/17/2019,7.4
C,Normal,Female,Food and beverages,8,793.548,2/27/2019,9.1
C,Normal,Male,Food and beverages,2,209.559,3/7/2019,8
A,Normal,Male,Home and lifestyle,6,461.286,1/21/2019,7.2
C,Normal,Female,Food and beverages,4,173.208,2/19/2019,7.1
C,Normal,Female,Fashion accessories,4,343.056,1/6/2019,9.1
C,Normal,Female,Electronic accessories,9,484.974,3/14/2019,5.6
A,Member,Male,Home and lifestyle,4,276.948,3/24/2019,6
C,Normal,Female,Sports and travel,10,150.78,1/27/2019,5.4
A,Member,Male,Electronic accessories,9,203.175,3/6/2019,7.8
B,Member,Female,Electronic accessories,7,193.011,2/2/2019,9.9
B,Normal,Female,Fashion accessories,2,128.016,1/25/2019,4.9
C,Normal,Female,Home and lifestyle,6,441.693,3/14/2019,5.2
C,Normal,Male,Fashion accessories,6,265.104,1/29/2019,8.9
A,Normal,Female,Home and lifestyle,5,352.2225,1/3/2019,9.1
A,Member,Female,Fashion accessories,5,507.675,1/14/2019,7
B,Member,Female,Home and lifestyle,9,334.341,1/5/2019,9.6
C,Normal,Male,Sports and travel,7,701.8515,2/22/2019,8.7
C,Member,Male,Fashion accessories,4,407.316,2/6/2019,9.4
B,Normal,Female,Electronic accessories,4,99.33,1/30/2019,4
A,Member,Male,Sports and travel,4,345.786,1/11/2019,7.5
C,Normal,Female,Electronic accessories,2,55.881,3/19/2019,4.2
B,Normal,Female,Food and beverages,5,523.3725,1/14/2019,9.9
C,Member,Female,Food and beverages,4,314.538,3/1/2019,4.2
A,Normal,Female,Food and beverages,5,214.935,1/6/2019,9.9
B,Member,Male,Sports and travel,1,79.611,1/31/2019,5.8
C,Normal,Male,Food and beverages,6,294.651,3/11/2019,6
A,Normal,Female,Health and beauty,10,339.36,2/20/2019,10
C,Member,Female,Fashion accessories,9,510.9615,1/27/2019,9.5
B,Normal,Male,Food and beverages,7,133.917,3/10/2019,6.6
C,Member,Female,Fashion accessories,3,253.512,2/15/2019,8.1
B,Normal,Female,Fashion accessories,10,398.475,1/26/2019,9.7
A,Member,Male,Electronic accessories,1,80.661,2/13/2019,7.2
A,Member,Female,Sports and travel,10,548.73,3/9/2019,6.2
A,Normal,Female,Health and beauty,1,83.727,3/6/2019,7.3
A,Normal,Female,Health and beauty,5,406.875,1/24/2019,4.3
A,Normal,Female,Food and beverages,5,284.9175,3/13/2019,4.6
B,Normal,Male,Home and lifestyle,9,128.4255,3/15/2019,5.8
B,Member,Female,Health and beauty,6,258.678,3/5/2019,8.3
B,Member,Male,Electronic accessories,9,181.818,3/4/2019,8
C,Normal,Female,Food and beverages,6,248.409,3/25/2019,9.4
C,Normal,Male,Home and lifestyle,4,194.124,3/12/2019,6.2
C,Member,Male,Home and lifestyle,1,14.679,2/4/2019,9.8
B,Normal,Female,Fashion accessories,5,208.6875,2/22/2019,9.6
C,Member,Female,Fashion accessories,7,718.7565,2/16/2019,4.9
A,Member,Male,Sports and travel,4,282.492,1/19/2019,8
A,Normal,Male,Food and beverages,5,72.3975,1/11/2019,7.8
B,Member,Female,Fashion accessories,4,288.582,1/4/2019,4.1
A,Normal,Female,Home and lifestyle,4,237.426,3/4/2019,5.5
C,Normal,Female,Fashion accessories,5,125.055,1/28/2019,5.4
B,Normal,Female,Health and beauty,10,359.205,1/2/2019,5.1
B,Normal,Male,Sports and travel,2,45.927,1/25/2019,6.9
A,Member,Male,Health and beauty,5,110.0925,1/4/2019,7.8
A,Normal,Male,Sports and travel,3,81.396,3/10/2019,6.6
A,Normal,Male,Home and lifestyle,8,427.812,3/22/2019,9.2
B,Normal,Male,Health and beauty,1,100.9155,1/25/2019,7.8
C,Normal,Female,Home and lifestyle,4,190.596,1/8/2019,8.7
C,Member,Female,Health and beauty,1,85.5855,1/22/2019,9.2
